1000,4903185,1
1001,55869,1
1003,223234,1
1005,24686,1
1007,22394,1
1009,57826,1
1011,10101,1
1013,19448,1
1015,113605,1
1017,33254,1
1019,26196,1
1021,44428,1
1023,12589,1
1025,23622,1
1027,13235,1
1029,14910,1
1031,52342,1
1033,55241,1
1035,12067,1
1037,10663,1
1039,37049,1
1041,13772,1
1043,83768,1
1045,49172,1
1047,37196,1
1049,71513,1
1051,81209,1
1053,36633,1
1055,102268,1
1057,16302,1
1059,31362,1
1061,26271,1
1063,8111,1
1065,14651,1
1067,17205,1
1069,105882,1
1071,51626,1
1073,658573,1
1075,13805,1
1077,92729,1
1079,32924,1
1081,164542,1
1083,98915,1
1085,9726,1
1087,18068,1
1089,372909,1
1091,18863,1
1093,29709,1
1095,96774,1
1097,413210,1
1099,20733,1
1101,226486,1
1103,119679,1
1105,8923,1
1107,19930,1
1109,33114,1
1111,22722,1
1113,57961,1
1115,89512,1
1117,217702,1
1119,12427,1
1121,79978,1
1123,40367,1
1125,209355,1
1127,63521,1
1129,16326,1
1131,10373,1
1133,23629,1
2000,731545,2
2013,3337,2
2016,5634,2
2020,288000,2
2050,18386,2
2060,836,2
2068,2097,2
2070,4916,2
2090,96849,2
2100,2530,2
2105,2148,2
2110,31974,2
2122,58708,2
2130,13901,2
2150,12998,2
2158,8314,2
2164,1592,2
2170,108317,2
2180,10004,2
2185,9832,2
2188,7621,2
2195,3266,2
2198,6203,2
2220,8493,2
2230,1183,2
2240,6893,2
2261,9202,2
2275,2502,2
2282,579,2
2290,5230,2
4000,7278717,4
4001,71887,4
4003,125922,4
4005,143476,4
4007,54018,4
4009,38837,4
4011,9498,4
4012,21108,4
4013,4485414,4
4015,212181,4
4017,110924,4
4019,1047279,4
4021,462789,4
4023,46498,4
4025,235099,4
4027,213787,4
5000,3017804,5
5001,17486,5
5003,19657,5
5005,41932,5
5007,279141,5
5009,37432,5
5011,10763,5
5013,5189,5
5015,28380,5
5017,10118,5
5019,22320,5
5021,14551,5
5023,24919,5
5025,7956,5
5027,23457,5
5029,20846,5
5031,110332,5
5033,63257,5
5035,47955,5
5037,16419,5
5039,7009,5
5041,11361,5
5043,18219,5
5045,126007,5
5047,17715,5
5049,12477,5
5051,99386,5
5053,18265,5
5055,45325,5
5057,21532,5
5059,33771,5
5061,13202,5
5063,37825,5
5065,13629,5
5067,16719,5
5069,66824,5
5071,26578,5
5073,6624,5
5075,16406,5
5077,8857,5
5079,13024,5
5081,12259,5
5083,21466,5
5085,73309,5
5087,16576,5
5089,16694,5
5091,43257,5
5093,40651,5
5095,6701,5
5097,8986,5
5099,8252,5
5101,7753,5
5103,23382,5
